Sample date,Amount,Notes,CC (pg/well),%Binding,CF,dilution,CC (pg/ml),CC (pg/g),CC (ng/g),construction_status,name,construction_dummy
2015-04-17,0.5003,NA,18.489,75.317,20,100,36978,73911.65300819509,73.91165300819509,Active Construction,Sabrena,1
2015-04-20,0.504,NA,34.001,NA,20,75,51001.5,101193.45238095238,101.19345238095238,Active Construction,Sabrena,1
2015-04-27,0.4808,NA,20.4,73.752,20,100,40800,84858.5690515807,84.85856905158069,Active Construction,Sabrena,1
2015-04-29,0.5024,NA,16.926,76.679,20,100,33852,67380.57324840764,67.38057324840764,Active Construction,Sabrena,1
2015-05-04,0.5137,NA,63.218,60.635,20,75,94827.00000000001,184596.06774381935,184.59606774381936,Active Construction,Sabrena,1
2015-05-08,0.5148,NA,97.142,50.843,20,75,145713,283047.7855477855,283.0477855477855,Active Construction,Sabrena,1
2015-05-11,0.5006,NA,68.628,58.795,20,75,102942,205637.23531761885,205.63723531761886,Active Construction,Sabrena,1
2015-05-13,0.4945,NA,276.063,29.731,20,75,414094.5,837400.4044489383,837.4004044489383,Active Construction,Sabrena,1
2015-05-15,0.4901,NA,97.031,50.869,20,75,145546.5,296973.06672107737,296.9730667210774,Active Construction,Sabrena,1
2015-05-18,0.4901,NA,72.231,57.637,20,75,108346.49999999999,221070.1897571924,221.0701897571924,Active Construction,Sabrena,1
2015-05-20,0.4978,NA,55.999,63.295,20,75,83998.5,168739.4535958216,168.7394535958216,Active Construction,Sabrena,1
2015-05-22,0.5117,NA,60.98,61.433,20,75,91470,178757.08422904043,178.75708422904043,Active Construction,Sabrena,1
2015-05-25,0.4936,NA,86.525,53.503,20,75,129787.5,262940.64019448945,262.94064019448945,Active Construction,Sabrena,1
2015-05-27,0.5036,NA,56.68,63.033,20,75,85020,168824.4638602065,168.82446386020652,Active Construction,Sabrena,1
2015-05-29,0.4844,NA,51.161,65.223,20,75,76741.5,158425.8876961189,158.4258876961189,Active Construction,Sabrena,1
2015-06-03,0.5183,NA,58.898,62.197,20,75,88347,170455.33474821533,170.45533474821534,Active Construction,Sabrena,1
2015-06-05,0.5055,NA,60.095,61.755,20,75,90142.5,178323.44213649855,178.32344213649856,Active Construction,Sabrena,1
2015-06-10,0.4858,NA,59.138,58.147,20,75,88707,182599.83532317827,182.59983532317827,Active Construction,Sabrena,1
2015-06-16,0.4887,NA,48.724,61.52,20,75,73086,149551.87231430324,149.55187231430324,Active Construction,Sabrena,1
2015-06-17,0.5187,NA,65.405,56.365,20,75,98107.5,189141.12203585886,189.14112203585887,Active Construction,Sabrena,1
2015-06-22,0.5116,NA,181.396,38.626,20,75,272094,531849.1008600468,531.8491008600469,Active Construction,Sabrena,1
2015-06-26,0.4803,Tube broke 2nd ext.,68.91,55.436,20,75,103364.99999999999,215209.24422236098,215.20924422236098,Active Construction,Sabrena,1
2015-06-29,0.4829,NA,51.646,60.516,20,75,77469,160424.51853385795,160.42451853385793,Active Construction,Sabrena,1
2015-07-03,0.5029,NA,75.819,53.73,20,75,113728.50000000001,226145.35692980714,226.14535692980715,Active Construction,Sabrena,1
2015-07-06,0.5096,NA,132.52,43.86,20,75,198780,390070.64364207216,390.0706436420722,Active Construction,Sabrena,1
2015-07-08,0.5133,NA,58.846,58.842,20,75,88268.99999999999,171963.76388077147,171.96376388077147,Active Construction,Sabrena,1
